,Date,Período,Região,Estado,Variantes,Variantes relevantes,Classificação,Frequência
739,2021-01,Jan 2021,Centro-oeste,Mato Grosso do Sul,B.1.212,Não VOC/VOI,Não VOC/VOI,1
740,2021-01,Jan 2021,Centro-oeste,Mato Grosso do Sul,N.4,Não VOC/VOI,Não VOC/VOI,2
741,2021-01,Jan 2021,Centro-oeste,Mato Grosso do Sul,P.2,P.2,VOC/VOI,12
742,2021-01,Jan 2021,Nordeste,Alagoas,AL.1,Não VOC/VOI,Não VOC/VOI,1
743,2021-01,Jan 2021,Nordeste,Alagoas,B.1.1,Não VOC/VOI,Não VOC/VOI,1
744,2021-01,Jan 2021,Nordeste,Alagoas,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
745,2021-01,Jan 2021,Nordeste,Alagoas,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
746,2021-01,Jan 2021,Nordeste,Alagoas,P.1 (Gama),P.1 (Gama),VOC/VOI,14
747,2021-01,Jan 2021,Nordeste,Alagoas,P.2,P.2,VOC/VOI,24
748,2021-01,Jan 2021,Nordeste,Bahia,B.1.1,Não VOC/VOI,Não VOC/VOI,1
749,2021-01,Jan 2021,Nordeste,Bahia,B.1.1.153,Não VOC/VOI,Não VOC/VOI,1
750,2021-01,Jan 2021,Nordeste,Bahia,B.1.1.28,Não VOC/VOI,Não VOC/VOI,3
751,2021-01,Jan 2021,Nordeste,Bahia,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
752,2021-01,Jan 2021,Nordeste,Bahia,B.1.1.7 (Alfa),B.1.1.7 (Alfa),VOC/VOI,4
753,2021-01,Jan 2021,Nordeste,Bahia,N.9,Não VOC/VOI,Não VOC/VOI,7
754,2021-01,Jan 2021,Nordeste,Bahia,P.1 (Gama),P.1 (Gama),VOC/VOI,13
755,2021-01,Jan 2021,Nordeste,Bahia,P.2,P.2,VOC/VOI,37
756,2021-01,Jan 2021,Nordeste,Ceará,B.1.1,Não VOC/VOI,Não VOC/VOI,3
757,2021-01,Jan 2021,Nordeste,Ceará,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
758,2021-01,Jan 2021,Nordeste,Ceará,B.1.1.33,Não VOC/VOI,Não VOC/VOI,9
759,2021-01,Jan 2021,Nordeste,Ceará,B.1.1.332,Não VOC/VOI,Não VOC/VOI,2
760,2021-01,Jan 2021,Nordeste,Ceará,N.9,Não VOC/VOI,Não VOC/VOI,1
761,2021-01,Jan 2021,Nordeste,Ceará,P.1 (Gama),P.1 (Gama),VOC/VOI,16
762,2021-01,Jan 2021,Nordeste,Ceará,P.2,P.2,VOC/VOI,17
763,2021-01,Jan 2021,Nordeste,Maranhão,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
764,2021-01,Jan 2021,Nordeste,Maranhão,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
765,2021-01,Jan 2021,Nordeste,Maranhão,B.1.1.332,Não VOC/VOI,Não VOC/VOI,1
766,2021-01,Jan 2021,Nordeste,Maranhão,B.1.234,Não VOC/VOI,Não VOC/VOI,1
767,2021-01,Jan 2021,Nordeste,Maranhão,N.10,Não VOC/VOI,Não VOC/VOI,9
768,2021-01,Jan 2021,Nordeste,Maranhão,N.9,Não VOC/VOI,Não VOC/VOI,12
769,2021-01,Jan 2021,Nordeste,Maranhão,P.1 (Gama),P.1 (Gama),VOC/VOI,8
770,2021-01,Jan 2021,Nordeste,Maranhão,P.2,P.2,VOC/VOI,15
771,2021-01,Jan 2021,Nordeste,Paraíba,B.1.1,Não VOC/VOI,Não VOC/VOI,3
772,2021-01,Jan 2021,Nordeste,Paraíba,B.1.1.28,Não VOC/VOI,Não VOC/VOI,7
773,2021-01,Jan 2021,Nordeste,Paraíba,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
774,2021-01,Jan 2021,Nordeste,Paraíba,B.1.212,Não VOC/VOI,Não VOC/VOI,1
775,2021-01,Jan 2021,Nordeste,Paraíba,P.1 (Gama),P.1 (Gama),VOC/VOI,5
776,2021-01,Jan 2021,Nordeste,Paraíba,P.2,P.2,VOC/VOI,24
777,2021-01,Jan 2021,Nordeste,Pernambuco,B.1.1,Não VOC/VOI,Não VOC/VOI,4
778,2021-01,Jan 2021,Nordeste,Pernambuco,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
779,2021-01,Jan 2021,Nordeste,Pernambuco,N.9,Não VOC/VOI,Não VOC/VOI,1
780,2021-01,Jan 2021,Nordeste,Pernambuco,P.2,P.2,VOC/VOI,13
781,2021-01,Jan 2021,Nordeste,Piauí,N.9,Não VOC/VOI,Não VOC/VOI,1
782,2021-01,Jan 2021,Nordeste,Rio Grande do Norte,B.1.1,Não VOC/VOI,Não VOC/VOI,1
783,2021-01,Jan 2021,Nordeste,Rio Grande do Norte,B.1.1.28,Não VOC/VOI,Não VOC/VOI,3
784,2021-01,Jan 2021,Nordeste,Rio Grande do Norte,N.9,Não VOC/VOI,Não VOC/VOI,1
785,2021-01,Jan 2021,Nordeste,Rio Grande do Norte,P.1 (Gama),P.1 (Gama),VOC/VOI,12
786,2021-01,Jan 2021,Nordeste,Rio Grande do Norte,P.2,P.2,VOC/VOI,26
787,2021-01,Jan 2021,Nordeste,Sergipe,B.1.1,Não VOC/VOI,Não VOC/VOI,1
788,2021-01,Jan 2021,Nordeste,Sergipe,B.1.1.28,Não VOC/VOI,Não VOC/VOI,6
789,2021-01,Jan 2021,Nordeste,Sergipe,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
790,2021-01,Jan 2021,Nordeste,Sergipe,B.1.1.464,Não VOC/VOI,Não VOC/VOI,1
791,2021-01,Jan 2021,Nordeste,Sergipe,B.1.1.7 (Alfa),B.1.1.7 (Alfa),VOC/VOI,1
792,2021-01,Jan 2021,Nordeste,Sergipe,N.9,Não VOC/VOI,Não VOC/VOI,2
793,2021-01,Jan 2021,Nordeste,Sergipe,P.1 (Gama),P.1 (Gama),VOC/VOI,7
794,2021-01,Jan 2021,Nordeste,Sergipe,P.2,P.2,VOC/VOI,23
795,2021-01,Jan 2021,Norte,Acre,B.1,Não VOC/VOI,Não VOC/VOI,2
796,2021-01,Jan 2021,Norte,Acre,B.1.1,Não VOC/VOI,Não VOC/VOI,1
797,2021-01,Jan 2021,Norte,Acre,B.1.1.28,Não VOC/VOI,Não VOC/VOI,14
798,2021-01,Jan 2021,Norte,Acre,B.1.1.33,Não VOC/VOI,Não VOC/VOI,3
799,2021-01,Jan 2021,Norte,Acre,B.1.1.348,Não VOC/VOI,Não VOC/VOI,2
800,2021-01,Jan 2021,Norte,Acre,N.9,Não VOC/VOI,Não VOC/VOI,1
801,2021-01,Jan 2021,Norte,Acre,P.1 (Gama),P.1 (Gama),VOC/VOI,10
802,2021-01,Jan 2021,Norte,Acre,P.2,P.2,VOC/VOI,3
803,2021-01,Jan 2021,Norte,Amapá,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
804,2021-01,Jan 2021,Norte,Amapá,B.1.160.25,Não VOC/VOI,Não VOC/VOI,2
805,2021-01,Jan 2021,Norte,Amapá,P.1 (Gama),P.1 (Gama),VOC/VOI,9
806,2021-01,Jan 2021,Norte,Amapá,P.2,P.2,VOC/VOI,56
807,2021-01,Jan 2021,Norte,Amazonas,B.1.1,Não VOC/VOI,Não VOC/VOI,1
808,2021-01,Jan 2021,Norte,Amazonas,B.1.1.28,Não VOC/VOI,Não VOC/VOI,4
809,2021-01,Jan 2021,Norte,Amazonas,B.1.1.33,Não VOC/VOI,Não VOC/VOI,2
810,2021-01,Jan 2021,Norte,Amazonas,B.1.1.398,Não VOC/VOI,Não VOC/VOI,1
811,2021-01,Jan 2021,Norte,Amazonas,P.1 (Gama),P.1 (Gama),VOC/VOI,171
812,2021-01,Jan 2021,Norte,Amazonas,P.2,P.2,VOC/VOI,7
813,2021-01,Jan 2021,Norte,Pará,B.1.1,Não VOC/VOI,Não VOC/VOI,1
814,2021-01,Jan 2021,Norte,Pará,B.1.1.28,Não VOC/VOI,Não VOC/VOI,5
815,2021-01,Jan 2021,Norte,Pará,B.1.1.378,Não VOC/VOI,Não VOC/VOI,1
816,2021-01,Jan 2021,Norte,Pará,P.1 (Gama),P.1 (Gama),VOC/VOI,17
817,2021-01,Jan 2021,Norte,Pará,P.2,P.2,VOC/VOI,23
818,2021-01,Jan 2021,Norte,Rondônia,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
819,2021-01,Jan 2021,Norte,Rondônia,B.1.1.33,Não VOC/VOI,Não VOC/VOI,6
820,2021-01,Jan 2021,Norte,Rondônia,N.9,Não VOC/VOI,Não VOC/VOI,1
