Data,Periodo,Região,Estado,Laboratório,Variante,Variantes relevantes,Classificação,Quantidade
2020-12-01,Dez 2020,Centro-oeste,Mato Grosso do Sul,Outros,P.2,Outras,Não VOC/VOI,6
2020-12-01,Dez 2020,Nordeste,Alagoas,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Alagoas,FIOCRUZ,B.1.1.371,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Alagoas,FIOCRUZ,N.9,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Alagoas,FIOCRUZ,P.2,Outras,Não VOC/VOI,17
2020-12-01,Dez 2020,Nordeste,Alagoas,FIOCRUZ,P.7,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Alagoas,Outros,B.1.1.28,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Alagoas,Outros,P.2,Outras,Não VOC/VOI,10
2020-12-01,Dez 2020,Nordeste,Bahia,FIOCRUZ,N.9,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Bahia,FIOCRUZ,P.1 (Gama),P.1 (Gama),VOC/VOI,2
2020-12-01,Dez 2020,Nordeste,Bahia,FIOCRUZ,P.2,Outras,Não VOC/VOI,5
2020-12-01,Dez 2020,Nordeste,Bahia,Outros,B.1.1.28,Outras,Não VOC/VOI,3
2020-12-01,Dez 2020,Nordeste,Bahia,Outros,N.9,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Bahia,Outros,P.1 (Gama),P.1 (Gama),VOC/VOI,3
2020-12-01,Dez 2020,Nordeste,Bahia,Outros,P.2,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Ceará,FIOCRUZ,B.1.1,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,3
2020-12-01,Dez 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,8
2020-12-01,Dez 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.371,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Ceará,FIOCRUZ,P.2,Outras,Não VOC/VOI,8
2020-12-01,Dez 2020,Nordeste,Ceará,Outros,B.1.1.28,Outras,Não VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Ceará,Outros,P.2,Outras,Não VOC/VOI,2
2020-12-01,Dez 2020,Nordeste,Maranhão,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,7
2020-12-01,Dez 2020,Nordeste,Maranhão,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,4
2020-12-01,Dez 2020,Nordeste,Maranhão,FIOCRUZ,B.1.1.332,Outras,Não VOC/VOI,4
2020-12-01,Dez 2020,Nordeste,Maranhão,FIOCRUZ,N.9,Outras,Não VOC/VOI,11
2020-12-01,Dez 2020,Nordeste,Maranhão,FIOCRUZ,P.1 (Gama),P.1 (Gama),VOC/VOI,1
2020-12-01,Dez 2020,Nordeste,Maranhão,FIOCRUZ,P.2,Outras,Não VOC/VOI,10
2020-12-01,Dez 2020,Nordeste,Maranhão,Outros,B.1.1.33,Outras,Não VOC/VOI,1
