,Date,Período,Região,Linhagem,Linhagens relevantes,Frequência
323,2020-11,Nov 2020,Sudeste,B.1.1.332,Outras,3
324,2020-11,Nov 2020,Sudeste,B.1.1.393,Outras,1
325,2020-11,Nov 2020,Sudeste,N.9,Outras,14
326,2020-11,Nov 2020,Sudeste,P.2,P.2,79
327,2020-11,Nov 2020,Sudeste,P.7,Outras,2
328,2020-11,Nov 2020,Sul,B.1,Outras,2
329,2020-11,Nov 2020,Sul,B.1.1,B.1.1,2
330,2020-11,Nov 2020,Sul,B.1.1.12,Outras,1
331,2020-11,Nov 2020,Sul,B.1.1.277,Outras,1
332,2020-11,Nov 2020,Sul,B.1.1.28,B.1.1.28,74
333,2020-11,Nov 2020,Sul,B.1.1.33,B.1.1.33,23
334,2020-11,Nov 2020,Sul,B.1.1.70,Outras,1
335,2020-11,Nov 2020,Sul,B.1.362,Outras,1
336,2020-11,Nov 2020,Sul,B.1.498,Outras,1
337,2020-11,Nov 2020,Sul,B.1.91,Outras,6
338,2020-11,Nov 2020,Sul,P.1 (Gama),P.1 (Gama),1
339,2020-11,Nov 2020,Sul,P.2,P.2,90
340,2020-11,Nov 2020,Sul,P.7,Outras,34
341,2020-12,Dez 2020,Centro-oeste,B.1.1.249,Outras,1
342,2020-12,Dez 2020,Centro-oeste,B.1.1.28,B.1.1.28,16
343,2020-12,Dez 2020,Centro-oeste,B.1.1.33,B.1.1.33,10
344,2020-12,Dez 2020,Centro-oeste,B.1.1.332,Outras,2
345,2020-12,Dez 2020,Centro-oeste,B.1.1.7 (Alfa),B.1.1.7 (Alfa),2
346,2020-12,Dez 2020,Centro-oeste,N.9,Outras,3
347,2020-12,Dez 2020,Centro-oeste,P.2,P.2,36
348,2020-12,Dez 2020,Centro-oeste,P.7,Outras,4
349,2020-12,Dez 2020,Nordeste,B.1,Outras,2
350,2020-12,Dez 2020,Nordeste,B.1.1,B.1.1,14
351,2020-12,Dez 2020,Nordeste,B.1.1.236,Outras,1
352,2020-12,Dez 2020,Nordeste,B.1.1.28,B.1.1.28,24
353,2020-12,Dez 2020,Nordeste,B.1.1.33,B.1.1.33,17
354,2020-12,Dez 2020,Nordeste,B.1.1.332,Outras,5
355,2020-12,Dez 2020,Nordeste,B.1.1.398,Outras,1
356,2020-12,Dez 2020,Nordeste,B.1.1.45,Outras,1
357,2020-12,Dez 2020,Nordeste,B.1.212,Outras,1
358,2020-12,Dez 2020,Nordeste,B.1.258,Outras,1
359,2020-12,Dez 2020,Nordeste,N.10,Outras,1
360,2020-12,Dez 2020,Nordeste,N.9,Outras,24
361,2020-12,Dez 2020,Nordeste,P.1 (Gama),P.1 (Gama),6
362,2020-12,Dez 2020,Nordeste,P.2,P.2,90
363,2020-12,Dez 2020,Nordeste,P.7,Outras,2
364,2020-12,Dez 2020,Norte,B.1,Outras,3
365,2020-12,Dez 2020,Norte,B.1.1,B.1.1,11
366,2020-12,Dez 2020,Norte,B.1.1.28,B.1.1.28,35
367,2020-12,Dez 2020,Norte,B.1.1.316,Outras,1
