,Date,Período,Estado,Linhagem,Frequência
362,2020-09,Set 2020,Rio Grande do Sul,B.1.1,1
363,2020-09,Set 2020,Rio Grande do Sul,B.1.1.28,21
364,2020-09,Set 2020,Rio Grande do Sul,B.1.1.33,34
365,2020-09,Set 2020,Rio Grande do Sul,Outras,1
366,2020-09,Set 2020,Rio de Janeiro,B.1,1
367,2020-09,Set 2020,Rio de Janeiro,B.1.1,2
368,2020-09,Set 2020,Rio de Janeiro,B.1.1.28,10
369,2020-09,Set 2020,Rio de Janeiro,B.1.1.33,39
370,2020-09,Set 2020,Rio de Janeiro,Outras,2
371,2020-09,Set 2020,Santa Catarina,B.1.1.28,2
372,2020-09,Set 2020,Santa Catarina,B.1.1.33,1
373,2020-09,Set 2020,São Paulo,B.1.1.28,14
374,2020-09,Set 2020,São Paulo,B.1.1.33,2
375,2020-09,Set 2020,São Paulo,Outras,4
376,2020-09,Set 2020,São Paulo,P.2,1
377,2020-09,Set 2020,Tocantins,B.1.1,1
378,2020-09,Set 2020,Tocantins,B.1.1.28,4
379,2020-10,Out 2020,Amazonas,B.1.1,2
380,2020-10,Out 2020,Amazonas,B.1.1.28,8
381,2020-10,Out 2020,Amazonas,B.1.1.33,2
382,2020-10,Out 2020,Amazonas,Outras,4
383,2020-10,Out 2020,Bahia,B.1.1,1
384,2020-10,Out 2020,Bahia,B.1.1.28,2
385,2020-10,Out 2020,Bahia,B.1.1.33,5
386,2020-10,Out 2020,Bahia,P.2,1
387,2020-10,Out 2020,Distrito Federal,B.1.1.28,3
388,2020-10,Out 2020,Distrito Federal,P.2,4
389,2020-10,Out 2020,Espírito Santo,B.1.1.28,5
390,2020-10,Out 2020,Espírito Santo,B.1.1.33,7
391,2020-10,Out 2020,Espírito Santo,P.2,3
392,2020-10,Out 2020,Goiás,B.1.1.28,2
393,2020-10,Out 2020,Goiás,P.2,1
394,2020-10,Out 2020,Mato Grosso do Sul,B.1.1.28,7
395,2020-10,Out 2020,Mato Grosso do Sul,B.1.1.33,2
396,2020-10,Out 2020,Minas Gerais,B.1.1.28,7
397,2020-10,Out 2020,Minas Gerais,B.1.1.33,6
398,2020-10,Out 2020,Minas Gerais,P.2,1
399,2020-10,Out 2020,Paraná,B.1.1.28,15
400,2020-10,Out 2020,Paraná,B.1.1.33,7
401,2020-10,Out 2020,Paraná,Outras,1
402,2020-10,Out 2020,Paraná,P.2,8
403,2020-10,Out 2020,Paraíba,B.1.1,6
404,2020-10,Out 2020,Paraíba,P.2,1
405,2020-10,Out 2020,Pará,B.1.1,1
406,2020-10,Out 2020,Pará,P.2,6
