,Date,Período,Região,Estado,Variantes,Variantes relevantes,Frequência
550,2021-04,Abr 2021,Centro-oeste,Goiás,P.1.1 (Gama),Não VOC/VOI,1
551,2021-04,Abr 2021,Centro-oeste,Goiás,P.1.2 (Gama),P.1.2 (Gama),2
552,2021-04,Abr 2021,Centro-oeste,Goiás,P.1.7,P.1.7,3
553,2021-04,Abr 2021,Centro-oeste,Mato Grosso,B.1.1.7 (Alfa),B.1.1.7 (Alfa),1
554,2021-04,Abr 2021,Centro-oeste,Mato Grosso,P.1 (Gama),P.1 (Gama),8
555,2021-04,Abr 2021,Centro-oeste,Mato Grosso,P.1.7,P.1.7,2
556,2021-04,Abr 2021,Centro-oeste,Mato Grosso do Sul,Não VOC/VOI,Não VOC/VOI,1
557,2021-04,Abr 2021,Centro-oeste,Mato Grosso do Sul,P.1 (Gama),P.1 (Gama),19
558,2021-04,Abr 2021,Centro-oeste,Mato Grosso do Sul,P.1.2 (Gama),P.1.2 (Gama),1
559,2021-04,Abr 2021,Centro-oeste,Mato Grosso do Sul,P.2,P.2,2
560,2021-04,Abr 2021,Nordeste,Alagoas,P.1 (Gama),P.1 (Gama),53
561,2021-04,Abr 2021,Nordeste,Alagoas,P.1.2 (Gama),P.1.2 (Gama),2
562,2021-04,Abr 2021,Nordeste,Alagoas,P.1.7,P.1.7,5
563,2021-04,Abr 2021,Nordeste,Bahia,P.1 (Gama),P.1 (Gama),30
564,2021-04,Abr 2021,Nordeste,Bahia,P.1.2 (Gama),P.1.2 (Gama),5
565,2021-04,Abr 2021,Nordeste,Bahia,P.1.7,P.1.7,1
566,2021-04,Abr 2021,Nordeste,Bahia,P.2,P.2,2
567,2021-04,Abr 2021,Nordeste,Ceará,P.1 (Gama),P.1 (Gama),32
568,2021-04,Abr 2021,Nordeste,Ceará,P.1.2 (Gama),P.1.2 (Gama),1
569,2021-04,Abr 2021,Nordeste,Ceará,P.1.7,P.1.7,1
570,2021-04,Abr 2021,Nordeste,Maranhão,Não VOC/VOI,Não VOC/VOI,1
571,2021-04,Abr 2021,Nordeste,Maranhão,P.1 (Gama),P.1 (Gama),44
