,Data,Período,Região,Estado,Laboratório,Variante,Variantes relevantes,Classificação,Quantidade
826,2020-12-01,Dez 2020,Nordeste,Rio Grande do Norte,FIOCRUZ,P.2,Outras,Não VOC/VOI,7
827,2020-12-01,Dez 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1,Outras,Não VOC/VOI,4
828,2020-12-01,Dez 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1.28,Outras,Não VOC/VOI,2
829,2020-12-01,Dez 2020,Nordeste,Rio Grande do Norte,Outros,B.1.1.33,Outras,Não VOC/VOI,1
830,2020-12-01,Dez 2020,Nordeste,Rio Grande do Norte,Outros,P.2,Outras,Não VOC/VOI,5
831,2020-12-01,Dez 2020,Norte,Acre,Outros,P.2,Outras,Não VOC/VOI,1
832,2020-12-01,Dez 2020,Norte,Amapá,Outros,B.1.1.28,Outras,Não VOC/VOI,1
833,2020-12-01,Dez 2020,Norte,Amapá,Outros,B.1.1.33,Outras,Não VOC/VOI,1
834,2020-12-01,Dez 2020,Norte,Amapá,Outros,B.1.160.25,Outras,Não VOC/VOI,1
835,2020-12-01,Dez 2020,Norte,Amapá,Outros,P.2,Outras,Não VOC/VOI,14
836,2020-12-01,Dez 2020,Norte,Amazonas,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,12
837,2020-12-01,Dez 2020,Norte,Amazonas,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,3
838,2020-12-01,Dez 2020,Norte,Amazonas,FIOCRUZ,B.1.1.378,Outras,Não VOC/VOI,11
839,2020-12-01,Dez 2020,Norte,Amazonas,FIOCRUZ,N.9,Outras,Não VOC/VOI,3
840,2020-12-01,Dez 2020,Norte,Amazonas,FIOCRUZ,P.1 (Gama),P.1 (Gama),VOC/VOI,57
841,2020-12-01,Dez 2020,Norte,Amazonas,FIOCRUZ,P.2,Outras,Não VOC/VOI,10
842,2020-12-01,Dez 2020,Norte,Amazonas,Outros,B.1,Outras,Não VOC/VOI,3
843,2020-12-01,Dez 2020,Norte,Amazonas,Outros,B.1.1,Outras,Não VOC/VOI,8
844,2020-12-01,Dez 2020,Norte,Amazonas,Outros,B.1.1.28,Outras,Não VOC/VOI,21
845,2020-12-01,Dez 2020,Norte,Amazonas,Outros,B.1.1.33,Outras,Não VOC/VOI,4
846,2020-12-01,Dez 2020,Norte,Amazonas,Outros,B.1.1.378,Outras,Não VOC/VOI,7
847,2020-12-01,Dez 2020,Norte,Amazonas,Outros,B.1.1.393,Outras,Não VOC/VOI,2
848,2020-12-01,Dez 2020,Norte,Amazonas,Outros,N.9,Outras,Não VOC/VOI,3
849,2020-12-01,Dez 2020,Norte,Amazonas,Outros,P.1 (Gama),P.1 (Gama),VOC/VOI,74
850,2020-12-01,Dez 2020,Norte,Amazonas,Outros,P.1.15 (Gama),P.1.* (Gama),VOC/VOI,1
851,2020-12-01,Dez 2020,Norte,Amazonas,Outros,P.2,Outras,Não VOC/VOI,36
852,2020-12-01,Dez 2020,Norte,Pará,Outros,B.1.1,Outras,Não VOC/VOI,3
853,2020-12-01,Dez 2020,Norte,Pará,Outros,B.1.1.28,Outras,Não VOC/VOI,1
854,2020-12-01,Dez 2020,Norte,Pará,Outros,B.1.1.33,Outras,Não VOC/VOI,1
855,2020-12-01,Dez 2020,Norte,Pará,Outros,N.9,Outras,Não VOC/VOI,2
856,2020-12-01,Dez 2020,Norte,Pará,Outros,P.2,Outras,Não VOC/VOI,14
857,2020-12-01,Dez 2020,Norte,Tocantins,Outros,P.2,Outras,Não VOC/VOI,2
858,2020-12-01,Dez 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,6
859,2020-12-01,Dez 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,6
860,2020-12-01,Dez 2020,Sudeste,Espírito Santo,FIOCRUZ,P.2,Outras,Não VOC/VOI,9
861,2020-12-01,Dez 2020,Sudeste,Espírito Santo,FIOCRUZ,P.7,Outras,Não VOC/VOI,1
862,2020-12-01,Dez 2020,Sudeste,Espírito Santo,Outros,B.1.1.33,Outras,Não VOC/VOI,5
863,2020-12-01,Dez 2020,Sudeste,Espírito Santo,Outros,P.2,Outras,Não VOC/VOI,6
864,2020-12-01,Dez 2020,Sudeste,Minas Gerais,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,1
865,2020-12-01,Dez 2020,Sudeste,Minas Gerais,FIOCRUZ,B.1.1.46,Outras,Não VOC/VOI,1
866,2020-12-01,Dez 2020,Sudeste,Minas Gerais,FIOCRUZ,P.2,Outras,Não VOC/VOI,5
867,2020-12-01,Dez 2020,Sudeste,Minas Gerais,Outros,B.1,Outras,Não VOC/VOI,1
868,2020-12-01,Dez 2020,Sudeste,Minas Gerais,Outros,B.1.1,Outras,Não VOC/VOI,1
869,2020-12-01,Dez 2020,Sudeste,Minas Gerais,Outros,B.1.1.28,Outras,Não VOC/VOI,8
870,2020-12-01,Dez 2020,Sudeste,Minas Gerais,Outros,B.1.1.33,Outras,Não VOC/VOI,2
