,Date,Período,Estado,Linhagem,Linhagens relevantes,Frequência
306,2020-07,Jul 2020,Mato Grosso do Sul,N.4,Outras,3
307,2020-07,Jul 2020,Minas Gerais,B.1.1.33,B.1.1.33,1
308,2020-07,Jul 2020,Paraná,B.1.1,B.1.1,2
309,2020-07,Jul 2020,Paraná,B.1.1.28,B.1.1.28,22
310,2020-07,Jul 2020,Paraná,B.1.1.33,B.1.1.33,25
311,2020-07,Jul 2020,Paraíba,B.1.1,B.1.1,1
312,2020-07,Jul 2020,Paraíba,B.1.1.33,B.1.1.33,1
313,2020-07,Jul 2020,Pará,B.1.1.28,B.1.1.28,3
314,2020-07,Jul 2020,Pará,B.1.1.33,B.1.1.33,3
315,2020-07,Jul 2020,Pará,B.1.395,Outras,1
316,2020-07,Jul 2020,Pernambuco,B.1.1,B.1.1,27
317,2020-07,Jul 2020,Pernambuco,B.1.1.236,Outras,1
318,2020-07,Jul 2020,Pernambuco,B.1.1.28,B.1.1.28,6
319,2020-07,Jul 2020,Pernambuco,B.1.1.33,B.1.1.33,7
320,2020-07,Jul 2020,Pernambuco,B.1.1.74,Outras,1
321,2020-07,Jul 2020,Rio Grande do Norte,B.1.1,B.1.1,5
322,2020-07,Jul 2020,Rio Grande do Norte,B.1.1.236,Outras,2
323,2020-07,Jul 2020,Rio Grande do Norte,B.1.1.28,B.1.1.28,3
324,2020-07,Jul 2020,Rio Grande do Norte,B.1.1.33,B.1.1.33,1
325,2020-07,Jul 2020,Rio Grande do Sul,B.1,Outras,1
326,2020-07,Jul 2020,Rio Grande do Sul,B.1.1,B.1.1,5
327,2020-07,Jul 2020,Rio Grande do Sul,B.1.1.161,Outras,3
328,2020-07,Jul 2020,Rio Grande do Sul,B.1.1.28,B.1.1.28,19
329,2020-07,Jul 2020,Rio Grande do Sul,B.1.1.33,B.1.1.33,44
330,2020-07,Jul 2020,Rio Grande do Sul,B.1.1.332,Outras,1
331,2020-07,Jul 2020,Rio Grande do Sul,B.1.195,Outras,1
332,2020-07,Jul 2020,Rio Grande do Sul,B.1.91,Outras,10
333,2020-07,Jul 2020,Rio de Janeiro,B.1.1,B.1.1,5
334,2020-07,Jul 2020,Rio de Janeiro,B.1.1.28,B.1.1.28,4
335,2020-07,Jul 2020,Rio de Janeiro,B.1.1.33,B.1.1.33,71
336,2020-07,Jul 2020,Rio de Janeiro,N.1,Outras,1
337,2020-07,Jul 2020,Santa Catarina,B.1.1.28,B.1.1.28,1
338,2020-07,Jul 2020,Santa Catarina,B.1.1.33,B.1.1.33,1
339,2020-07,Jul 2020,Sergipe,B.1,Outras,1
340,2020-07,Jul 2020,Sergipe,B.1.1,B.1.1,1
341,2020-07,Jul 2020,São Paulo,B.1,Outras,1
342,2020-07,Jul 2020,São Paulo,B.1.1,B.1.1,5
343,2020-07,Jul 2020,São Paulo,B.1.1.28,B.1.1.28,53
344,2020-07,Jul 2020,São Paulo,B.1.1.33,B.1.1.33,12
345,2020-07,Jul 2020,São Paulo,B.1.1.332,Outras,1
346,2020-07,Jul 2020,São Paulo,P.7,Outras,2
347,2020-08,Ago 2020,Acre,B.1.1.33,B.1.1.33,14
348,2020-08,Ago 2020,Amazonas,B.1.1.28,B.1.1.28,4
349,2020-08,Ago 2020,Amazonas,B.1.195,Outras,2
350,2020-08,Ago 2020,Bahia,B.1,Outras,1
351,2020-08,Ago 2020,Bahia,B.1.1,B.1.1,2
352,2020-08,Ago 2020,Bahia,B.1.1.28,B.1.1.28,5
353,2020-08,Ago 2020,Bahia,B.1.1.33,B.1.1.33,6
354,2020-08,Ago 2020,Ceará,B.1.1.33,B.1.1.33,1
355,2020-08,Ago 2020,Goiás,B.1.1,B.1.1,1
356,2020-08,Ago 2020,Goiás,B.1.1.28,B.1.1.28,2
357,2020-08,Ago 2020,Goiás,B.1.1.33,B.1.1.33,10
358,2020-08,Ago 2020,Mato Grosso,B.1.1.33,B.1.1.33,2
359,2020-08,Ago 2020,Mato Grosso do Sul,B.1.1.28,B.1.1.28,2
360,2020-08,Ago 2020,Mato Grosso do Sul,B.1.1.33,B.1.1.33,5
361,2020-08,Ago 2020,Minas Gerais,B.1.1.28,B.1.1.28,1
362,2020-08,Ago 2020,Minas Gerais,B.1.1.33,B.1.1.33,3
363,2020-08,Ago 2020,Paraná,B.1,Outras,1
364,2020-08,Ago 2020,Paraná,B.1.1,B.1.1,2
365,2020-08,Ago 2020,Paraná,B.1.1.236,Outras,1
366,2020-08,Ago 2020,Paraná,B.1.1.28,B.1.1.28,10
367,2020-08,Ago 2020,Paraná,B.1.1.33,B.1.1.33,7
368,2020-08,Ago 2020,Paraíba,B.1.1,B.1.1,5
369,2020-08,Ago 2020,Paraíba,B.1.1.28,B.1.1.28,1
370,2020-08,Ago 2020,Paraíba,B.1.1.33,B.1.1.33,2
371,2020-08,Ago 2020,Pernambuco,B.1.1,B.1.1,23
372,2020-08,Ago 2020,Pernambuco,B.1.1.16,Outras,1
373,2020-08,Ago 2020,Pernambuco,B.1.1.171,Outras,1
374,2020-08,Ago 2020,Pernambuco,B.1.1.221,Outras,2
375,2020-08,Ago 2020,Pernambuco,B.1.1.236,Outras,1
376,2020-08,Ago 2020,Pernambuco,B.1.1.277,Outras,1
377,2020-08,Ago 2020,Pernambuco,B.1.1.28,B.1.1.28,15
378,2020-08,Ago 2020,Pernambuco,B.1.1.33,B.1.1.33,5
379,2020-08,Ago 2020,Pernambuco,B.1.1.402,Outras,1
380,2020-08,Ago 2020,Rio Grande do Norte,B.1.1,B.1.1,4
381,2020-08,Ago 2020,Rio Grande do Norte,B.1.1.236,Outras,1
382,2020-08,Ago 2020,Rio Grande do Norte,B.1.1.28,B.1.1.28,2
383,2020-08,Ago 2020,Rio Grande do Sul,B.1,Outras,2
