,Date,Período,Estado,Linhagem,Frequência
417,2020-11,Nov 2020,Alagoas,Outras,1
418,2020-11,Nov 2020,Alagoas,P.2,4
419,2020-11,Nov 2020,Amapá,P.2,5
420,2020-11,Nov 2020,Amazonas,B.1.1,4
421,2020-11,Nov 2020,Amazonas,B.1.1.28,18
422,2020-11,Nov 2020,Amazonas,B.1.1.33,3
423,2020-11,Nov 2020,Amazonas,Outras,21
424,2020-11,Nov 2020,Amazonas,P.2,3
425,2020-11,Nov 2020,Bahia,B.1.1.28,2
426,2020-11,Nov 2020,Bahia,B.1.1.33,4
427,2020-11,Nov 2020,Bahia,Outras,3
428,2020-11,Nov 2020,Ceará,B.1.1.28,3
429,2020-11,Nov 2020,Ceará,B.1.1.33,7
430,2020-11,Nov 2020,Ceará,Outras,1
431,2020-11,Nov 2020,Ceará,P.2,1
432,2020-11,Nov 2020,Distrito Federal,B.1.1.28,1
433,2020-11,Nov 2020,Distrito Federal,Outras,1
434,2020-11,Nov 2020,Distrito Federal,P.2,2
435,2020-11,Nov 2020,Espírito Santo,B.1.1.28,2
436,2020-11,Nov 2020,Espírito Santo,B.1.1.33,9
437,2020-11,Nov 2020,Espírito Santo,P.2,7
438,2020-11,Nov 2020,Goiás,P.2,1
439,2020-11,Nov 2020,Maranhão,B.1.1,1
440,2020-11,Nov 2020,Maranhão,B.1.1.28,1
441,2020-11,Nov 2020,Maranhão,Outras,6
442,2020-11,Nov 2020,Maranhão,P.1 (Gama),1
443,2020-11,Nov 2020,Mato Grosso,Outras,1
444,2020-11,Nov 2020,Mato Grosso do Sul,Outras,1
445,2020-11,Nov 2020,Minas Gerais,B.1.1,1
446,2020-11,Nov 2020,Minas Gerais,B.1.1.28,6
447,2020-11,Nov 2020,Minas Gerais,B.1.1.33,5
448,2020-11,Nov 2020,Minas Gerais,Outras,3
449,2020-11,Nov 2020,Minas Gerais,P.2,12
450,2020-11,Nov 2020,Paraná,B.1.1,2
451,2020-11,Nov 2020,Paraná,B.1.1.28,22
452,2020-11,Nov 2020,Paraná,B.1.1.33,4
453,2020-11,Nov 2020,Paraná,Outras,4
454,2020-11,Nov 2020,Paraná,P.2,11
455,2020-11,Nov 2020,Paraíba,B.1.1,14
456,2020-11,Nov 2020,Paraíba,B.1.1.28,6
457,2020-11,Nov 2020,Paraíba,B.1.1.33,3
458,2020-11,Nov 2020,Paraíba,Outras,2
459,2020-11,Nov 2020,Paraíba,P.2,3
460,2020-11,Nov 2020,Pará,B.1.1,3
461,2020-11,Nov 2020,Pará,B.1.1.28,2
462,2020-11,Nov 2020,Pará,Outras,5
463,2020-11,Nov 2020,Pará,P.2,6
464,2020-11,Nov 2020,Pernambuco,B.1.1,1
465,2020-11,Nov 2020,Pernambuco,B.1.1.33,1
466,2020-11,Nov 2020,Pernambuco,P.2,1
467,2020-11,Nov 2020,Piauí,B.1.1.28,1
468,2020-11,Nov 2020,Piauí,Outras,3
469,2020-11,Nov 2020,Rio Grande do Norte,B.1.1,1
470,2020-11,Nov 2020,Rio Grande do Norte,B.1.1.28,2
