,Date,Período,Região,Estado,Linhagens relevantes,Quantidade
381,2020-10,Out 2020,Norte,Tocantins,B.1.1.28,6
382,2020-10,Out 2020,Norte,Tocantins,B.1.1.33,2
383,2020-10,Out 2020,Norte,Tocantins,P.2,1
384,2020-10,Out 2020,Sudeste,Espírito Santo,B.1.1.28,5
385,2020-10,Out 2020,Sudeste,Espírito Santo,B.1.1.33,7
386,2020-10,Out 2020,Sudeste,Espírito Santo,P.2,3
387,2020-10,Out 2020,Sudeste,Minas Gerais,B.1.1,1
388,2020-10,Out 2020,Sudeste,Minas Gerais,B.1.1.28,6
389,2020-10,Out 2020,Sudeste,Minas Gerais,B.1.1.33,6
390,2020-10,Out 2020,Sudeste,Minas Gerais,P.2,1
391,2020-10,Out 2020,Sudeste,Rio de Janeiro,B.1.1,1
392,2020-10,Out 2020,Sudeste,Rio de Janeiro,B.1.1.28,14
393,2020-10,Out 2020,Sudeste,Rio de Janeiro,B.1.1.33,42
394,2020-10,Out 2020,Sudeste,Rio de Janeiro,Outras,1
395,2020-10,Out 2020,Sudeste,Rio de Janeiro,P.2,25
396,2020-10,Out 2020,Sudeste,São Paulo,B.1.1,1
397,2020-10,Out 2020,Sudeste,São Paulo,B.1.1.28,22
398,2020-10,Out 2020,Sudeste,São Paulo,B.1.1.33,6
399,2020-10,Out 2020,Sudeste,São Paulo,Outras,3
400,2020-10,Out 2020,Sudeste,São Paulo,P.2,5
401,2020-10,Out 2020,Sul,Paraná,B.1.1.28,14
402,2020-10,Out 2020,Sul,Paraná,B.1.1.33,6
403,2020-10,Out 2020,Sul,Paraná,Outras,3
404,2020-10,Out 2020,Sul,Paraná,P.2,8
405,2020-10,Out 2020,Sul,Rio Grande do Sul,B.1.1,2
406,2020-10,Out 2020,Sul,Rio Grande do Sul,B.1.1.28,26
407,2020-10,Out 2020,Sul,Rio Grande do Sul,B.1.1.33,25
408,2020-10,Out 2020,Sul,Rio Grande do Sul,Outras,12
409,2020-10,Out 2020,Sul,Rio Grande do Sul,P.2,10
410,2020-10,Out 2020,Sul,Santa Catarina,B.1.1.33,1
411,2020-11,Nov 2020,Centro-oeste,Distrito Federal,B.1.1.28,1
412,2020-11,Nov 2020,Centro-oeste,Distrito Federal,P.2,2
413,2020-11,Nov 2020,Centro-oeste,Goiás,P.2,1
414,2020-11,Nov 2020,Centro-oeste,Mato Grosso,Outras,1
415,2020-11,Nov 2020,Centro-oeste,Mato Grosso do Sul,Outras,1
416,2020-11,Nov 2020,Nordeste,Alagoas,B.1.1.28,1
417,2020-11,Nov 2020,Nordeste,Alagoas,Outras,1
418,2020-11,Nov 2020,Nordeste,Alagoas,P.2,4
419,2020-11,Nov 2020,Nordeste,Bahia,B.1.1.28,3
420,2020-11,Nov 2020,Nordeste,Bahia,B.1.1.33,4
421,2020-11,Nov 2020,Nordeste,Bahia,Outras,3
422,2020-11,Nov 2020,Nordeste,Ceará,B.1.1.28,3
423,2020-11,Nov 2020,Nordeste,Ceará,B.1.1.33,7
424,2020-11,Nov 2020,Nordeste,Ceará,P.2,2
425,2020-11,Nov 2020,Nordeste,Maranhão,B.1.1,1
426,2020-11,Nov 2020,Nordeste,Maranhão,B.1.1.28,1
427,2020-11,Nov 2020,Nordeste,Maranhão,Outras,6
428,2020-11,Nov 2020,Nordeste,Maranhão,P.1+P.1.* (Gama),1
429,2020-11,Nov 2020,Nordeste,Paraíba,B.1.1,14
430,2020-11,Nov 2020,Nordeste,Paraíba,B.1.1.28,2
431,2020-11,Nov 2020,Nordeste,Paraíba,B.1.1.33,3
432,2020-11,Nov 2020,Nordeste,Paraíba,Outras,6
433,2020-11,Nov 2020,Nordeste,Paraíba,P.2,3
434,2020-11,Nov 2020,Nordeste,Pernambuco,B.1.1,10
435,2020-11,Nov 2020,Nordeste,Pernambuco,B.1.1.28,65
436,2020-11,Nov 2020,Nordeste,Pernambuco,B.1.1.33,48
437,2020-11,Nov 2020,Nordeste,Pernambuco,Outras,10
438,2020-11,Nov 2020,Nordeste,Pernambuco,P.2,4
439,2020-11,Nov 2020,Nordeste,Piauí,B.1.1.28,1
440,2020-11,Nov 2020,Nordeste,Piauí,Outras,3
441,2020-11,Nov 2020,Nordeste,Rio Grande do Norte,B.1.1,1
442,2020-11,Nov 2020,Nordeste,Rio Grande do Norte,B.1.1.28,2
443,2020-11,Nov 2020,Nordeste,Rio Grande do Norte,B.1.1.33,5
444,2020-11,Nov 2020,Nordeste,Rio Grande do Norte,Outras,2
445,2020-11,Nov 2020,Nordeste,Rio Grande do Norte,P.2,4
446,2020-11,Nov 2020,Norte,Amapá,P.2,5
447,2020-11,Nov 2020,Norte,Amazonas,B.1.1,2
448,2020-11,Nov 2020,Norte,Amazonas,B.1.1.28,21
449,2020-11,Nov 2020,Norte,Amazonas,B.1.1.33,3
450,2020-11,Nov 2020,Norte,Amazonas,Outras,20
451,2020-11,Nov 2020,Norte,Amazonas,P.2,3
452,2020-11,Nov 2020,Norte,Pará,B.1.1,3
453,2020-11,Nov 2020,Norte,Pará,B.1.1.28,2
454,2020-11,Nov 2020,Norte,Pará,Outras,1
455,2020-11,Nov 2020,Norte,Pará,P.2,10
456,2020-11,Nov 2020,Norte,Roraima,B.1.1.28,1
457,2020-11,Nov 2020,Sudeste,Espírito Santo,B.1.1.28,2
458,2020-11,Nov 2020,Sudeste,Espírito Santo,B.1.1.33,9
459,2020-11,Nov 2020,Sudeste,Espírito Santo,P.2,7
460,2020-11,Nov 2020,Sudeste,Minas Gerais,B.1.1,1
461,2020-11,Nov 2020,Sudeste,Minas Gerais,B.1.1.28,6
462,2020-11,Nov 2020,Sudeste,Minas Gerais,B.1.1.33,6
463,2020-11,Nov 2020,Sudeste,Minas Gerais,P.2,13
464,2020-11,Nov 2020,Sudeste,Rio de Janeiro,B.1.1,3
465,2020-11,Nov 2020,Sudeste,Rio de Janeiro,B.1.1.28,17
466,2020-11,Nov 2020,Sudeste,Rio de Janeiro,B.1.1.33,20
467,2020-11,Nov 2020,Sudeste,Rio de Janeiro,Outras,1
468,2020-11,Nov 2020,Sudeste,Rio de Janeiro,P.2,33
469,2020-11,Nov 2020,Sudeste,São Paulo,B.1.1,3
470,2020-11,Nov 2020,Sudeste,São Paulo,B.1.1.28,38
471,2020-11,Nov 2020,Sudeste,São Paulo,B.1.1.33,8
472,2020-11,Nov 2020,Sudeste,São Paulo,Outras,20
473,2020-11,Nov 2020,Sudeste,São Paulo,P.2,26
474,2020-11,Nov 2020,Sul,Paraná,B.1.1,1
475,2020-11,Nov 2020,Sul,Paraná,B.1.1.28,21
476,2020-11,Nov 2020,Sul,Paraná,B.1.1.33,3
477,2020-11,Nov 2020,Sul,Paraná,Outras,5
478,2020-11,Nov 2020,Sul,Paraná,P.2,12
479,2020-11,Nov 2020,Sul,Rio Grande do Sul,B.1.1,1
480,2020-11,Nov 2020,Sul,Rio Grande do Sul,B.1.1.28,51
481,2020-11,Nov 2020,Sul,Rio Grande do Sul,B.1.1.33,18
482,2020-11,Nov 2020,Sul,Rio Grande do Sul,Outras,43
483,2020-11,Nov 2020,Sul,Rio Grande do Sul,P.1+P.1.* (Gama),1
484,2020-11,Nov 2020,Sul,Rio Grande do Sul,P.2,75
485,2020-11,Nov 2020,Sul,Santa Catarina,B.1.1.28,1
486,2020-11,Nov 2020,Sul,Santa Catarina,B.1.1.33,1
487,2020-11,Nov 2020,Sul,Santa Catarina,Outras,1
488,2020-11,Nov 2020,Sul,Santa Catarina,P.2,3
489,2020-12,Dez 2020,Centro-oeste,Distrito Federal,B.1.1.28,1
490,2020-12,Dez 2020,Centro-oeste,Distrito Federal,B.1.1.7 (Alfa),2
491,2020-12,Dez 2020,Centro-oeste,Goiás,B.1.1.28,12
492,2020-12,Dez 2020,Centro-oeste,Goiás,B.1.1.33,1
493,2020-12,Dez 2020,Centro-oeste,Goiás,Outras,8
